躄	[tích] ① Khoèo cả hai chân gọi là tích 躄, khoèo một chân gọi là bả 跛 (có chỗ đọc là bí).
雄	[hùng] ① (Giống) đực, sống, trống; ② (Người hoặc nước) hùng mạnh: 稱雄 Xưng hùng; 戰國七雄 Bảy nước hùng mạnh thời Chiến Quốc; ③ Hào hùng, mạnh mẽ, oai hùng, hùng dũng, to lớn, kiệt xuất, có khí phách: 雄心 Hùng tâm, chí lớn; 雄兵 Hùng binh; 雄略 Mưu lược kiệt xuất; 雄才 Tài năng kiệt xuất; ④ (văn) Chiến thắng; ⑤ (văn) Mắng nhiếc người khác bằng những lời sỉ nhục; ⑥ [Xióng] (Họ) Hùng.
雁	[nhạn] (Chim) nhạn, mòng. Cv. 鴈.
雀	[tước] ① Chim: 麻雀 Chim sẻ, chim ri; 孔雀 Chim công; ② (văn) Có tàn nhang. Xem 雀 [qiao], [qiăo].
雀	[tước] Chim sẻ. 【雀盲眼】tước manh nhãn [qiăo mang yăn] (đph) Quáng gà. Xem 雀 [qiao], [què].
雀	[tước] Chim sẻ, chim nhỏ (nói chung). Xem 雀 [qiăo], [què].
难	[nan, nạn] Như 難
隽	[tuyến, tuấn] Như 雋
隽	[tuyến, tuấn] Như 雋.
隼	[chuẩn] Một loài chim cắt nhỏ.
隻	[chích] ① (loại) Con, cái, chiếc, bàn: 一隻眼睛 Một con mắt; 一隻鳥 Một con chim; 一隻手表 Một cái đồng hồ đeo tay; 一隻鞋 Một chiếc giầy; 一隻手 Một bàn tay; 乾坤隻眼小塵埃 Một con mắt càn khôn coi cõi trần là nhỏ (Trần Bích San: Quá Vân Sơn); ② Lẻ loi, một mình, đơn độc, chiếc: 隻影 Bóng chiếc, lẻ bóng; 形單影隻 Lẻ loi đơn chiếc; 隻字不提 Không nhắc đến một lời. Xem 只 [zhê].
隺	[hạc] Như 鶴 (bộ 鳥).
隶	[đãi] Kịp (dùng như 逮, bộ 辶).
隴	[lũng] ① Tên núi: 隴山Lũng Sơn (ở giữa hai tỉnh Thiểm Tây và Cam Túc, Trung Quốc); ② (Tên gọi tắt của) tỉnh Cam Túc (Trung Quốc).
隳	[huy] (văn) Huỷ hoại, huỷ nát, làm hư hỏng.
隱	[ẩn] ① Giấu, ẩn giấu, ẩn nấp, ẩn trốn, kín đáo, ngấm ngầm: 隱瞞 Giấu giếm, che đậy; 隱患 Tai hoạ ngầm; 隱逸 Ẩn dật, lánh đời; 隱於屏後 Nấp sau tấm bình phong; 子爲父隱 Con giấu cho cha; 二三子以我爲隱乎？ Hai ba anh cho ta là có giấu giếm gì chăng? (Luận ngữ); ② (văn) Đau lòng, thương xót, trắc ẩn: 王若隱其無罪而就死地 Nhà vua nếu xót thương cho con vật không có tội mà phải đi tới chỗ chết (Mạnh tử); ③ (văn) Không rõ ràng, mơ hồ, lờ mờ: 隱隱 Lờ mờ; 隱約 Lập lờ; ④ (văn) Điều bí ẩn, điều khó hiểu; ⑤ (văn) Thiếu thốn, nghèo túng, khốn khổ: 民隱 Nỗi khốn khổ của dân; ⑥ (văn) Xem xét; ⑦ (văn) Tường thấp; ⑧ (văn) Lời nói dối; ⑨ (văn) Tựa, dựa: 隱几而臥 Tựa ghế mà nằm; 隱囊 Tựa gối; ⑩ [Yên] (Họ) Ẩn.
隱	[ẩn] Xem 隱.
隰	[thấp] (văn) ① Nơi ẩm thấp, chỗ trũng; ② Ruộng mới vỡ.
險	[hiểm] ① Nguy hiểm: 脫險 Thoát khỏi cơn nguy hiểm; ② Hiểm yếu, hiểm trở: 天險 Vùng hiểm yếu thiên nhiên; ③ Hiểm sâu, hiểm độc, hiểm hóc, gian hiểm, xảo quyệt: 陰險 Thâm hiểm; 險詐 Nham hiểm; ④ Suýt, suýt nữa, tí nữa: 他險遭不幸 Anh ta suýt gặp chuyện không may (suýt chết).
隩	[áo] (văn) ① Góc tây nam nhà (như 奧, bộ 大); ② Đất bốn bên có thể ở được (như 墺, bộ 土); ③ Sâu xa (như 奧, bộ 大): 申呂方強，其隩愛太子，亦必可知也 Họ Thân và họ Lã đang mạnh, họ yêu thái tử sâu xa, ắt cũng phải nên biết vậy (Quốc ngữ: Trịnh ngữ).
隨	[tùy] ① Đi theo: 我 隨着大家一起去 Tôi sẽ đi theo mọi người; ② Vừa... vừa...: 隨說隨記 Vừa nói vừa ghi; ③ Bất kì, lúc nào cũng: 隨時注意 Lúc nào cũng chú ý; ④ Tùy theo, tuân theo, phục tùng: 隨他的便 Tùy (theo) anh ấy; 隨意 Tùy ý; 隨便 Tùy ý, tùy tiện, tùy thích, tự do, cẩu thả, xuê xoa; 隨後 Sau đó, sau, tiếp theo; 隨即 Lập tức, tức khắc, ngay, bèn. 【隨時】tùy thời [suíshí] a. Sẵn sàng: 隨時准備殲滅對方 Sẵn sàng tiêu diệt đối phương; b. Bất cứ lúc nào: 隨時糾正錯誤 Sửa chữa sai lầm bất cứ lúc nào; 【隨着】tùy trước [suízhe] Theo đà, theo: 隨着時間 的推移 Theo thời gian trôi qua; 隨着工業的發展 Theo đà phát triển của công nghiệp; ⑤ Tiện, thuận: 隨手關門 Tiện tay đóng cửa lại; 隨口 Thuận miệng; ⑥ Giống, như: 他長得隨他父親 Anh ấy giống cha; ⑦ (văn) Ngón chân.
隧	[toại] ① Đường hầm. 【隧道】toại đạo [suìdào] Đường hầm. Cg. 隧洞 [suìdòng]; ② (văn) Đi vòng quanh; ③ (văn) Tháp trên thành để canh lửa hiệu (thời xưa ở Trung Quốc).
隤	[đồi] Như 頹 (bộ 頁).
隣	[lân] Như 鄰 (bộ 邑).
障	[chướng] ① Cách trở, ngăn, chặn: 堤堰可以障水 Đê điều có thể ngăn (chặn) nước; ② Chắn, che: 風障 Hàng rào chắn gió; 障眼法 Thuật (phép) che mắt; ③ (văn) Bức che, tấm che, màn che: 步障 (hay 行障) Màn che bụi lúc đi đường (của nhà quý phái thời xưa); ④ (văn) Vật xây đắp lên để che chở: 堤障 Bờ đê; 保障 Ụ thành.
障	[chương] ① Cái chắn bùn cho ngựa (như ý[, bộ 革).
際	[tế] ① Bên cạnh, bên bờ, bờ, mép, lề, ranh giới: 天際 Chân trời; 無邊無際 Không bờ bến; ② Giữa: 廠際 Giữa các xưởng; 國際 Giữa các nước, quốc tế; 星際 Giữa các tinh tú; 校際籃球賽 Đấu bóng rổ giữa các trường; 廠際協作 Sự hiệp tác giữa các nhà máy; ③ Dịp, lúc, trong khoảng: 秋冬之際 Lúc (trong khoảng) cuối thu đầu đông; 國慶之際 Dịp quốc khánh; 此際方做准備 Lúc này mới còn sửa soạn; ④ Giữa lúc, gặp lúc, giữa khi, nhân dịp: 正當勝利之際 Giữa lúc (khi) thắng lợi; 値此建國五十周年之際 Nhân dịp dựng nước năm mươi năm.
隙	[khích] ① Vết nứt, lỗ hổng, khe hở, kẽ hở (trên tường...): 門隙 Khe cửa; 墻隙 Vết rạn trên tường, khe tường; ② (Khoảng đất, thời gian) nhàn, trống: 農隙 Thời gian nhàn rỗi của nhà nông; 空隙 Chỗ trống, khe hở; ③ Chỗ sơ hở, dịp: 無隙可乘 Không có chỗ sơ hở nào để lợi dụng; ④ Sự nứt rạn, sự hiềm khích, nỗi oán giận (về tình cảm): 嫌隙 Hiềm khích; 安生王與太宗有隙 An Sinh Vương có hiềm khích với vua Thái Tông (Việt điện u linh tập); 他與那人有隙 Anh ấy có mối hiềm khích với người kia.
隙	[khích] Như 隙.
隘	[ải] ① Hiểm, hiểm hóc, hiểm trở, xung yếu: 要隘 Nơi xung yếu; 關隘 Cửa ải hiểm trở; ② Nhỏ, hẹp, hẹp hòi: 氣量狹隘 Bụng dạ hẹp hòi; 伯夷隘 Ông Bá Di hẹp hòi (MaÅnh tử); ③ (văn) Như 阨.
隗	[ngôi, ngỗi] ① (văn) Cao; ② [Wâi] Nước Ngỗi (thời xưa, nay thuộc tỉnh Hồ Bắc, Trung Quốc); ③ [Wâi] (Họ) Ngỗi.
隖	[ổ] (văn) ① Như 塢 (bộ 土); ② Lô cốt đá để phòng giặc cướp (trong làng xóm); ③ Núi trong nước; ④ Dinh có xây thành xung quanh.
隕	[vẫn] ① Rơi xuống: 夜中星隕如雨 Giữa đêm sao rơi xuống và trời lại mưa (Xuân thu: Trang công thất niên) (如= 而); ② (văn) Hư hỏng: 景公臺隕 Cái đài của vua Cảnh công bị hỏng (Hoài Nam tử); ③ (văn) Héo rụng: 望秋先隕 Vừa đến mùa thu lá đã rụng trước (Mộng khê bút đàm); ④ (văn) Chết (dùng như âf, bộ 歹): 巢隕諸樊 Chư Phàn đã chết ở đất Sào (Tả truyện); 四擬不破，則隕身滅國矣 Không phá bỏ được bốn việc tương tự thì thân sẽ chết nước sẽ mất (Hàn Phi tử).
隔	[cách] ① Chặn, ngăn cách, tách riêng ra, phân ra, chia ra, gạn ra: 一間屋隔成兩間 Một căn nhà ngăn thành hai gian; ② Cách, xa cách, cách biệt: 相隔很遠 Cách nhau rất xa; 睽隔 Cách biệt xa xôi; 商女不知亡國恨，隔江猶唱“後庭花” Các thương nữ (con hát) không biết gì tới cái hận mất nước, nên cách bên kia sông vẫn cứ hát bài "Hoa sau vườn" (Đỗ Mục: Bạc Tần Hoài).
隐	[ẩn] Như 隱
隐	[ẩn] Như 隱
随	[tùy] Như 隨
随	[tùy] Như 隨
階	[giai] ① Bậc, bực (thềm): 階梯 Bậc thang; ② Cấp bậc, ngôi thứ; ③ (văn) Bắc thang: 猶天之不可階而昇也 Giống như trời thì không thể bắt thang mà lên được (Luận ngữ); ④ (văn) Lối đưa tới, con đường dẫn tới: 禍階 Cớ gây ra tai hoạ; ⑤ (văn) Nương tựa: 無尺寸之階 Không còn có chỗ nương tựa.
隍	[hoàng] (cũ) Hào (ao cạn trong thành): 城隍 Hào thành.
隋	[tùy] ① Đời Tùy (Trung Quốc, năm 581—618); ② (Họ) Tùy.
隋	[đoạ] (văn) ① Như 墮 (bộ 土); ② Thịt xé; ③ Tết Đoạ.
隊	[đội] ① Hàng: 站隊 Đứng vào hàng; 排隊上車 Xếp hàng lên xe; ② Đội (một số người có tổ chức): 球隊 Đội bóng; 艦隊 Hạm đội; 擔¬[隊 Đội cáng thương; 消防隊 Đội chữa cháy; ③ Đội thiếu niên tiền phong: 隊旗 Cờ đội (thiếu niên tiền phong); ④ Đoàn, toán: 一隊人馬 Một đoàn người.
隉	[niết] Xem 阢隉.
隉	[niết] Như 隉.
隈	[ôi] ① Chỗ uốn khúc, chỗ ngoặt (của núi, sông, cung điện, hoặc cây cung...): 山隈 Khuỷu núi; 河隈 Khuỷu sông; 城隈 Chỗ ngoặt của tường thành; ② (văn) Chỗ đùi vế; ③ (văn) Góc.
隆	[long] ① Trọng thể, trọng hậu: 隆重 Long trọng; ② Hưng thịnh: 興隆 Hưng thịnh; 隆盛 Thịnh vượng; ③ Sâu, hậu, thắm thiết: 隆情厚誼 Tình nghĩa thắm thiết, nghĩa thiết tình hậu; ④ Gồ lên, lồi lên, u lên: 他碰得前額隆起一個大包 Trán anh ấy va u lên một cục to; ⑤ (văn) Cao quý, tôn quý, nổi tiếng, vẻ vang; ⑥ (văn) Lớn; ⑦【隆隆】long long [lóng lóng] (thanh) Ầm ầm: 雷聲隆隆 Sấm sét ầm ầm; ⑧[Lóng] (Họ) Long.
隅	[ngung] ① Góc, cạnh, xó: 墻隅 Góc tường; 舉一隅不以三隅反 Nêu một góc mà không biết xét đến ba góc kia (Luận ngữ); ② Vùng ven: 海隅 Vùng ven biển, góc biển.
隄	[đê] Đê, bờ đê: 築隄 Đắp đê.
隃	[du] ① (văn) Vượt qua (như 逾, bộ 辶); ② 【隃麋】Du Mi [Yúmí] Tên đất thời cổ (thuộc huyện Thiên Dương, tỉnh Thiểm Tây Trung Quốc ngày nay, nơi sản xuất mực, vì vậy những từ “du mi”, “mi hoàn” 麋丸 còn dùng để chỉ mực viết).
隃	[dao] (văn) Xa (như 遙, bộ 辶).
隁	[yển] Như 堰 (bộ 土).
陿	[hiệp] Như 狹 (bộ 犭).
陾	[nhưng] 【陾陾】nhưng nhưng [réngréng] (văn) ① Đông đúc, đông đảo; ② (văn) Tiếng xây tường (lụp cụp).
陽	[dương] ① Dương (trái với âm): 陰陽 Âm dương; ② Thái dương, mặt trời: 朝陽 Mặt trời ban mai; 秋陽以暴之 Có mặt trời mùa thu dọi xuống cho nó (Mạnh tử); ③ (văn) Hướng nam, phía nam: 天之當陽 Thiên tử ngồi quay về hướng nam; ④ (văn) Hướng bắc, phía bắc: 漢陽 Phía bắc sông Hán; ⑤ (văn) Phía nam núi: 衡陽 Phía nam núi Hành; 以其乃華山之陽名之也 Vì nó ở phía nam núi Hoa Sơn nên mới gọi nó là động Hoa Sơn (Vương An Thạch: Du Bao Thiền sơn kí); ⑥ Lộ ra ngoài, tỏ ra bên ngoài, bề ngoài, giả vờ, vờ (như 佯, bộ 亻): 陽爲尊敬 Ngoài mặt tỏ ra tôn kính; 今其狀陽言與韓，其實陰善楚 Nay bề ngoài vờ nói ủng hộ nước Hàn, nhưng thực ra lại ngầm thân với Sở (Sử kí: Hàn thế gia); 陽眠 Giả vờ ngủ.【陽溝】dương câu [yáng gou] Rãnh nổi, cống lộ thiên; 【陽奉陰違】 dương phụng âm vi [yángféng-yinwéi] Ngoài thì thuận, trong thì chống, trước mặt phục tùng sau lưng chống lại; ⑦ Dương (vật): 陽具 Dương vật, ngọc hành; ⑧ (văn) Màu đỏ tươi; ⑨ (văn) Cõi dương, cõi đời, dương gian; ⑩ [Yáng] Tên đất thời xưa (thuộc nước Yên đời Xuân thu, ở phía đông huyện Đường, tỉnh Hà Bắc, Trung Quốc); ⑪ [Yáng] (Họ) Dương.
陻	[nhân] Như 堙 (bộ 土).
陸	[lục] ① Trên đất, trên cạn, trên bộ, đất liền, đường bộ, bằng đường bộ: 陸地 Lục địa, trên bộ; 大陸 Đại lục; 登陸 Đổ bộ; 水陸草木之花 Hoa của các loài thảo mộc dưới nước và trên cạn; 水陸交通 Giao thông đường thuỷ và đường bộ; 陸路 Đường bộ; ② 【陸離】lục li [lùlí] Màu sắc hỗn tạp, sặc sỡ, rực rỡ, lòe loẹt: 光怪陸離 Màu sắc sặc sỡ; ③ 【陸續】lục tục [lùxù] Lần lượt, lục tục: 來賓陸續到達 Khách đã lần lượt (lục tục) đến; ④ [Lù] Sao Lục; ⑤ [Lù] (Họ) Lục. Xem 陸 [liù].
陸	[lục] Sáu (chữ 六 viết kép). Xem 陸 [lù].
陷	[hãm] ① Sa vào, lún xuống, tụt xuống, sụt xuống, vùi lấp mất: 陷入泥沼 Sa vào hố lầy; 陷赤子於禍坑 Vùi con đỏ xuống dưới hầm tai vạ (Bình Ngô đại cáo); ② Lõm xuống, hóp vào: 病了幾個月，他的眼睛都陷進去了 Bệnh mấy tháng, mắt anh ấy lõm sâu xuống; ③ Hãm hại: 誣陷 Vu hãm; ④ Đánh bẫy, đánh lừa, lừa: 他陷她于絕境 Anh ta đã lừa nàng vào đường cùng; ⑤ Công hãm, bị công phá: 城陷 Thành bị công phá; 陣陷 Trận bị phá tan; ⑥ Khuyết điểm, thiếu sót.
陶	[dao] Tên người: 皐陶 Cao Dao (một hiền thần đời vua Thuấn ở Trung Quốc thời xưa).
陶	[đào] ① Đồ gốm: 陶器 Đồ gốm; ② (văn) Thợ làm đồ gốm, thợ gốm; ③ Nung đúc, hun đúc; ④ Vui sướng, mừng rỡ, hớn hở, say mê; ⑤ (văn) Nhớ nhung: 鬱陶 Thương nhớ; ⑥ [Táo] (Họ) Đào.
陵	[lăng] ① Gò lớn, đồi: 陵谷變遷 Nay đồi mai lũng; ② Lăng mộ (mồ mả của vua chúa): 嗣德陵 Lăng vua Tự Đức; 謁陵 Viếng mộ; ③ (văn) Xúc phạm, lăng nhục, lấn hiếp: 在上位不在陵下 Ở ngôi trên không lấn hiếp người dưới (Trung dung); ④ (văn) Cướp đoạt, chiếm đoạt; ⑤ (văn) Leo, trèo lên; ⑥ (văn) Mục nát: 陵夷 Tan nát; ⑦ (văn) Tôi đồ sắt.
陴	[bì] (văn) ① Tường thấp trên mặt thành; ② Chân.
陳	[trận] (Sự) dàn quân (có tính chiến thuật), dàn trận.
陳	[trần] ① Bày, đặt: 商品陳列 Bày hàng; ② Trình bày, giãi bày, kể: 陳述 Giãi bày; ③ Cũ, để lâu: 陳酒 Rượu để lâu năm; 推陳出新 Đẩy cũ ra mới; ④ [Chén] Nước Trần (thời Xuân Thu, Trung Quốc); ⑤ [Chén] Tên Triều đại (ở Trung Quốc, năm 557-589; ở Việt Nam năm 1225-1400) ⑥ (Họ) Trần.
陲	[thùy] (văn) Biên giới: 邊陲 Biên thùy (chỗ giáp giới với nước khác).
除	[trừ] ① Bỏ đi, xóa đi, tiêu trừ, trừ bỏ, trừ: 爲民除害 Trừ hại cho dân; 他們消除了疑慮 Họ đã xóa bỏ được nỗi ngờ vực; 剪除 Cắt bỏ; 掃除 Quét sạch đi; ② Ngoài... ra: 除此以外 Ngoài ra, trừ... không kể; 除了這個人，我都認識 Ngoài người đó ra, còn những người khác tôi đều quen biết cả. 【除非】trừ phi [chúfei] Trừ phi, chỉ có...: 除非發生特殊情況 Trừ phi xảy ra tình trạng đặc biệt; 除非你說，他才同意 Chỉ có anh nói thì hắn mới đồng ý; 【除開】trừ khai [chú kai] Như 除了;【除了】trừ liễu [chúle] a. Trừ... không kể: 除了病號 Trừ những người bệnh; b. Ngoài... ra, ngoài...: 除了你以外，還有誰？ Ngoài anh ra, còn ai nữa; 【除去】trừ khứ [chúqù] Như 除了; 【除外】trừ ngoại [chúwài] Trừ ra, không kể: 展覽室每天開放，星期一除外 Phòng triển lãm hàng ngày đều mở cửa, trừ ngày thứ hai; ③ (toán) (Tính, phép) chia: 二除四得二 4 chia cho 2 được 2 (4c2=2); ④ (văn) Thềm: 灑掃庭除 Quét rửa thềm nhà; ⑤ (văn) Bổ chức quan, phong quan: 除授 Bỏ chức cũ phong cho chức mới; ⑥【除日】trừ nhật [chúrì] Ngày hết năm. Cg. 除夜 [chuýè]; 【除夕】trừ tịch [chúxi] Đêm giao thừa, đêm 30 Tết.
陣	[trận] ① Trận, hàng trận (quân lính): 出陣 Ra trận, xuất trận; 布陣 Bố trận; ② Đánh trận, trận đánh; ③ (loại) Trận, cơn, làn, mẻ: 一陣風 Một cơn (làn, trận) gió; 一陣一陣地痛 Đau từng cơn; 批評了一陣 Phê bình cho một mẻ (trận); ④ Giai đoạn, thời gian, lúc, hồi, dạo: 這一陣子工作正忙 Dạo (lúc, hồi, thời gian) này đang bận.
院	[viện] ① Sân (có tường bao quanh): 院裡種了許多花 Trong sân trồng rất nhiều hoa; 我 把車停在前院 Tôi cho xe đậu ở sân trước; 獨院兒 Sân riêng (thuộc một gia đình); ② Viện, toà: 人民 檢察院 Viện kiểm sát nhân dân; 科學院 Viện khoa học; 醫院 Bệnh viện; 戲院 Kịch viện, rạp hát, nhà hát; 參議院 Toà tham nghị; ③ Học viện.
陡	[đẩu] ① Dốc, cao chót vót: 山陡路險 Dốc núi hiểm trở; ② Đột nhiên: 天氣陡變 Đột nhiên trở trời; 陡然 Đột nhiên.
陞	[thăng] Như 昇 (bộ 十).
陝	[hiệp] (văn) ① Như 狹 (bộ 犭); ② Như 峽 (bộ 山).
陝	[thiểm] Tỉnh Thiểm Tây, Trung Quốc (gọi tắt): 陝北 Miền bắc Thiểm Tây; 陝甘寧 邊區 Biên khu Thiểm Cam Ninh (Thiểm Tây — Cam Túc — Ninh Hạ).
陛	[bệ] Bậc (bực) thềm cung vua: 陛下 Bệ hạ (từ để tôn xưng nhà vua).
陘	[hình] (văn) ① Chỗ đứt quãng của dãy núi, cửa núi; ②【灶陘】táo hình [zào xíng] Phần nổi cao bên bếp lò (có thể để đồ vật lên trên).
陘	[kính] (văn) Đường nhỏ (như 徑, bộ 彳).
陕	[thiểm, hiệp] Như 陝
陔	[cai] (cũ) ① Nơi gần bậc thềm; ② Bậc, thềm; ③ Nổng đất giữa ruộng, mô đất ngoài đồng; ④ (văn) Răn bảo; ⑤ Xem 九陔 [jiưgai]; ⑥ 【陔埏】cai diên [gaiyán] Nơi rất xa xôi.
限	[hạn] ① Hạn, hạn độ, phạm vi được quy định: 無限 Vô hạn; 人數不限 Không hạn định số người; 期限 Kì hạn; 界限 Giới hạn; 權限 Quyền hạn; ② Ranh giới, giới hạn; ③ (văn) Bậc cửa, ngưỡng cửa.
陏	[tùy] Như 隋(2).
陏	[đoạ] (văn) Một thứ trái giống như trái dưa.
降	[hàng] ① Đầu hàng, hàng: 寧死不降 Thà chết không hàng; ② (Làm cho) khuất phục, hàng phục, chế ngự: 一物降一物 Vật này chế ngự vật kia. Xem 降 [jiàng].
